Name of Publisher|Publisher_id
3A|3055
9000|285054
AA|1
AAMI|3
AASHTO|4
AATCC|5
ABMA|6
ABMA-BOILER|7
ACC|285434
ACI|8
ADA|472
ADS|544
AEIC|413
AGA|12
AHAM|609
AHP|285954
AIA|15
AIAA|597
AIAG|473
AIIM|18
ALI|25314
AMCA|22
ANS|23
ANSI|24
ANSI/ANSLG|287754
ANSI/NEMA|287756
AOAC|611
AORN|288174
API|25
ARI|27
AS|29
AS/NZS|553
ASA|30
ASAE/ASABE|31
ASCE|32
ASD-STAN PREN|287594
ASHE|287934
ASHRAE|33
ASIS|288194
ASM|34
ASME|35
ASNT|36
ASQ|628
ASSE|38
ASSE (PLUMBING)|3093
ASTM|39
ATIS|285974
AWC|288114
AWI|474
AWPA|42
AWS|43
AWWA|44
B11|694
BHMA|45
BICSI|8903
BIFMA|46
BOMA|806
BS|48
BV|287214
BioWorld|288034
CAN/CGSB|285034
CAN/ULC|285754
CFR|56
CGA|57
CGSB|58
CIE|60
CIRS|287794
CISPR|61
CLSI|490
CMAA|422
CMR|286154
CRSI|64
CSA|65
CSI|742
CTA|285894
CTI|283694
DID|286355
DIN|69
DOD|478
DOXPUB|285454
EEC|71
ESD|821
ETSI|605
FCI|78
FED|79
AM Approvals|287614
GANA|83
GPA|85
HEI|621
HFES|86
HI|87
I3A|287294
IADC|3264
IAPMO|90
ICAO|435
ICC|842
IDEA|288314
IEC|94
IEEE|95
IES|889
IEST|750
IICRC|287174
IMO|97
INCITS|845
IPC|99
ISA|101
ISEA|876
ISO|102
ISPE|285774
ISTA|108
JEDEC|110
JIS|112
LIA|3077
MBMA|288274
MIL|114
MMPDS|286994
MPIF|116
MSS|117
NAAMM|118
NACE|119
NADCA|511
NAS|121
NBBI|123
NCSL|125
NECA|454
NEMA|127
NETA|128
NFPA (Fire)|129
NFPA (Fluid)|3014
NISO|708
NORSOK|288254
NRC|735
NSC|287994
NSF|133
OPEI|746
PEI|886
PIP|874
PRCI|25234
RTCA|491
SAE|142
SAIA|396
SDI|142
SEPT|3035
SES|848
SIA|288054
SJI|546
SMACNA|147
SME|18719
SMPTE|461
SPI|148
SSPC|150
TAPPI|151
TIM|288074
TMS|19242
TechAmerica|285174
ToxServices|287874
UAMA|286694
UL|156
ULC|157
UOP|287854
VDE|158
X9|286474
